Date_Tableau,Date_PB,Date_Exp,Weekday,Weekend,Weekend2,Saturday,Sunday,Value
23-Oct-17,23-10-2017,2017-10-23,2,0,0,0,0,7484.72014
24-Oct-17,24-10-2017,2017-10-24,3,0,0,0,0,2354.14366
25-Oct-17,25-10-2017,2017-10-25,4,0,0,0,0,3802.67472
26-Oct-17,26-10-2017,2017-10-26,5,0,0,0,0,6781.79849
27-Oct-17,27-10-2017,2017-10-27,6,0,0,0,0,3395.54114
28-Oct-17,28-10-2017,2017-10-28,7,1,1,1,0,4174.37596
29-Oct-17,29-10-2017,2017-10-29,1,1,2,0,1,7433.7901
30-Oct-17,30-10-2017,2017-10-30,2,0,0,0,0,5239.61417
31-Oct-17,31-10-2017,2017-10-31,3,0,0,0,0,3058.64033
1-Nov-17,01-11-2017,2017-11-01,4,0,0,0,0,3037.80436
2-Nov-17,02-11-2017,2017-11-02,5,0,0,0,0,3995.23186
3-Nov-17,03-11-2017,2017-11-03,6,0,0,0,0,4921.62476
4-Nov-17,04-11-2017,2017-11-04,7,1,1,1,0,7842.79945
5-Nov-17,05-11-2017,2017-11-05,1,1,2,0,1,6332.05009
6-Nov-17,06-11-2017,2017-11-06,2,0,0,0,0,4250.81408
7-Nov-17,07-11-2017,2017-11-07,3,0,0,0,0,4757.86381
8-Nov-17,08-11-2017,2017-11-08,4,0,0,0,0,3341.15637
9-Nov-17,09-11-2017,2017-11-09,5,0,0,0,0,3951.33827
10-Nov-17,10-11-2017,2017-11-10,6,0,0,0,0,4654.37861
11-Nov-17,11-11-2017,2017-11-11,7,1,1,1,0,3876.63183
12-Nov-17,12-11-2017,2017-11-12,1,1,2,0,1,6091.64745
13-Nov-17,13-11-2017,2017-11-13,2,0,0,0,0,3935.32264
14-Nov-17,14-11-2017,2017-11-14,3,0,0,0,0,4880.51674
15-Nov-17,15-11-2017,2017-11-15,4,0,0,0,0,2897.49927
16-Nov-17,16-11-2017,2017-11-16,5,0,0,0,0,3728.58935
17-Nov-17,17-11-2017,2017-11-17,6,0,0,0,0,4058.64502
18-Nov-17,18-11-2017,2017-11-18,7,1,1,1,0,5437.66503
19-Nov-17,19-11-2017,2017-11-19,1,1,2,0,1,9855.17957
20-Nov-17,20-11-2017,2017-11-20,2,0,0,0,0,3201.84276
21-Nov-17,21-11-2017,2017-11-21,3,0,0,0,0,4075.61347
22-Nov-17,22-11-2017,2017-11-22,4,0,0,0,0,3801.32558
23-Nov-17,23-11-2017,2017-11-23,5,0,0,0,0,3572.80654
24-Nov-17,24-11-2017,2017-11-24,6,0,0,0,0,4797.0361
25-Nov-17,25-11-2017,2017-11-25,7,1,1,1,0,9995.82558
26-Nov-17,26-11-2017,2017-11-26,1,1,2,0,1,8585.38262
27-Nov-17,27-11-2017,2017-11-27,2,0,0,0,0,4394.92897
28-Nov-17,28-11-2017,2017-11-28,3,0,0,0,0,1766.1833
29-Nov-17,29-11-2017,2017-11-29,4,0,0,0,0,2231.01404
30-Nov-17,30-11-2017,2017-11-30,5,0,0,0,0,2811.98906
1-Dec-17,01-12-2017,2017-12-01,6,0,0,0,0,3489.8806
2-Dec-17,02-12-2017,2017-12-02,7,1,1,1,0,4908.56946
3-Dec-17,03-12-2017,2017-12-03,1,1,2,0,1,9463.49666
