Date,Label,Traffic Volume in MB
23/10/2017,Actual,7484.72014
24/10/2017,Actual,2354.14366
25/10/2017,Actual,3802.67472
26/10/2017,Actual,6781.79849
27/10/2017,Actual,3395.54114
28/10/2017,Actual,4174.37596
29/10/2017,Actual,7433.7901
30/10/2017,Actual,5239.61417
31/10/2017,Actual,3058.64033
1/11/2017,Actual,3037.80436
2/11/2017,Actual,3995.23186
3/11/2017,Actual,4921.62476
4/11/2017,Actual,7842.79945
5/11/2017,Actual,6332.05009
6/11/2017,Actual,4250.81408
7/11/2017,Actual,4757.86381
8/11/2017,Actual,3341.15637
9/11/2017,Actual,3951.33827
10/11/2017,Actual,4654.37861
11/11/2017,Actual,3876.63183
12/11/2017,Actual,6091.64745
13/11/2017,Actual,3935.32264
14/11/2017,Actual,4880.51674
15/11/2017,Actual,2897.49927
16/11/2017,Actual,3728.58935
17/11/2017,Actual,4058.64502
18/11/2017,Actual,5437.66503
19/11/2017,Actual,9855.17957
20/11/2017,Actual,3201.84276
21/11/2017,Actual,4075.61347
22/11/2017,Actual,3801.32558
23/11/2017,Actual,3572.80654
24/11/2017,Actual,4797.0361
25/11/2017,Actual,9995.82558
26/11/2017,Actual,8585.38262
27/11/2017,Actual,4394.92897
28/11/2017,Actual,1766.1833
29/11/2017,Actual,2231.01404
30/11/2017,Actual,2811.98906
1/12/2017,Actual,3489.8806
2/12/2017,Actual,4908.56946
3/12/2017,Actual,9463.49666
4/12/2017,Actual,2420.82855
5/12/2017,Actual,3817.88683
6/12/2017,Actual,5897.35687
7/12/2017,Actual,2920.4596
8/12/2017,Actual,2219.65225
9/12/2017,Actual,4783.97329
10/12/2017,Actual,3084.9384
11/12/2017,Actual,3765.64926
12/12/2017,Actual,1900.47102
13/12/2017,Actual,2674.49234
14/12/2017,Actual,2566.00333
15/12/2017,Actual,2950.93463
16/12/2017,Actual,1177.07199
17/12/2017,Actual,3507.04751
18/12/2017,Actual,2992.44526
19/12/2017,Actual,3395.0035
20/12/2017,Actual,2143.00531
21/12/2017,Actual,2755.83848
22/12/2017,Actual,3561.97446
23/12/2017,Actual,5289.83362
24/12/2017,Actual,10095.65554
25/12/2017,Actual,4077.0379
26/12/2017,Actual,3386.14755
27/12/2017,Actual,4811.20793
28/12/2017,Actual,2579.54974
29/12/2017,Actual,2566.14029
30/12/2017,Actual,5073.20703
31/12/2017,Actual,7005.90733
1/1/2018,Actual,7337.18052
2/1/2018,Actual,3666.7563
3/1/2018,Actual,4638.8944
4/1/2018,Actual,1393.9566
5/1/2018,Actual,5119.66148
6/1/2018,Actual,4705.5909
7/1/2018,Actual,5424.89019
8/1/2018,Actual,4927.37106
9/1/2018,Actual,3298.42598
10/1/2018,Actual,3312.05512
11/1/2018,Actual,2768.5517
12/1/2018,Actual,1760.00573
13/01/2018,Actual,2758.43358
14/01/2018,Actual,3480.18887
15/01/2018,Actual,1534.22293
16/01/2018,Actual,1943.50306
17/01/2018,Actual,1834.16942
18/01/2018,Actual,912.44613
19/01/2018,Actual,3717.58336
20/01/2018,Actual,1901.37043
21/01/2018,Actual,9895.16436
22/01/2018,Actual,3924.42882
23/01/2018,Actual,3337.65625
24/01/2018,Actual,3877.65506
25/01/2018,Actual,2231.9744
26/01/2018,Actual,7913.10306
27/01/2018,Actual,9824.64858
28/01/2018,Actual,7885.85348
29/01/2018,Actual,4330.09106
30/01/2018,Actual,1703.2426
31/01/2018,Actual,2880.13183
1/2/2018,Actual,2083.30401
2/2/2018,Actual,2583.04316
3/2/2018,Actual,5885.85749
4/2/2018,Actual,6688.12797
5/2/2018,Actual,7867.94416
6/2/2018,Actual,6224.53837
7/2/2018,Actual,4755.36632
8/2/2018,Actual,6257.66076
9/2/2018,Actual,5207.68024
10/2/2018,Actual,6879.52539
11/2/2018,Actual,4957.51071
12/2/2018,Actual,5348.61035
13/02/2018,Actual,5974.29074
14/02/2018,Actual,8562.62914
15/02/2018,Actual,11644.26953
16/02/2018,Actual,14032.36881
17/02/2018,Actual,9965.89279
18/02/2018,Actual,17125.54185
19/02/2018,Actual,8734.54263
20/02/2018,Actual,11740.98607
21/02/2018,Actual,11650.21563
22/02/2018,Actual,8529.96575
23/02/2018,Actual,7617.58837
24/02/2018,Actual,7020.53427
25/02/2018,Actual,7124.95653
26/02/2018,Actual,3073.81703
27/02/2018,Actual,2255.49758
28/02/2018,Actual,2886.43359
1/3/2018,Actual,3766.23695
2/3/2018,Actual,4636.21119
3/3/2018,Actual,5325.46445
4/3/2018,Actual,11439.04072
5/3/2018,Actual,5705.3242
6/3/2018,Actual,6119.74375
7/3/2018,Actual,5340.30144
8/3/2018,Actual,3360.90998
9/3/2018,Actual,3738.46339
10/3/2018,Actual,5199.74601
11/3/2018,Actual,7389.89408
12/3/2018,Actual,5499.68332
13/03/2018,Actual,4655.81331
14/03/2018,Actual,5406.41409
15/03/2018,Actual,4101.39012
16/03/2018,Actual,3684.49627
17/03/2018,Actual,6721.70676
18/03/2018,Actual,10407.20863
19/03/2018,Actual,3550.82769
20/03/2018,Actual,3926.3117
21/03/2018,Actual,5294.29068
22/03/2018,Actual,4881.69093
23/03/2018,Actual,4351.44003
24/03/2018,Actual,4217.95926
25/03/2018,Actual,9141.97932
26/03/2018,Actual,3369.16662
27/03/2018,Actual,5751.55604
28/03/2018,Actual,7338.68241
29/03/2018,Actual,5154.38008
30/03/2018,Actual,5974.04198
31/03/2018,Actual,6338.08255
1/4/2018,Actual,11928.0493
2/4/2018,Actual,9587.96543
3/4/2018,Actual,5010.1345
4/4/2018,Actual,6650.87046
5/4/2018,Actual,5124.63656
6/4/2018,Actual,8907.85778
7/4/2018,Actual,5104.81388
8/4/2018,Actual,6884.17487
9/4/2018,Actual,9113.37776
10/4/2018,Actual,6437.61456
11/4/2018,Actual,4554.39815
12/4/2018,Actual,6106.19431
13/04/2018,Actual,9164.78119
14/04/2018,Actual,9411.76453
15/04/2018,Actual,8695.74641
16/04/2018,Actual,5061.67835
17/04/2018,Actual,6456.21832
18/04/2018,Actual,9030.35714
19/04/2018,Actual,9388.75845
20/04/2018,Actual,6478.54596
21/04/2018,Actual,9708.78689
22/04/2018,Actual,7623.66542
23/04/2018,Actual,6395.79189
24/04/2018,Actual,6404.54009
25/04/2018,Actual,10380.90125
26/04/2018,Actual,6421.08121
27/04/2018,Actual,7194.23326
28/04/2018,Actual,9246.69944
29/04/2018,Actual,11269.64313
30/04/2018,Actual,11639.624
1/5/2018,Actual,10750.28176
2/5/2018,Actual,13613.65972
3/5/2018,Actual,9651.91707
4/5/2018,Actual,13569.66321
5/5/2018,Actual,11493.93809
6/5/2018,Actual,19677.59124
7/5/2018,Actual,11535.20468
8/5/2018,Actual,12763.68359
9/5/2018,Actual,12232.36016
10/5/2018,Actual,7687.02815
11/5/2018,Actual,8664.77219
12/5/2018,Actual,10615.97756
13/05/2018,Actual,17796.06163
14/05/2018,Actual,14072.47536
15/05/2018,Actual,14045.26411
16/05/2018,Actual,9027.78919
17/05/2018,Actual,12760.68718
18/05/2018,Actual,14119.90884
19/05/2018,Actual,14469.7359
20/05/2018,Actual,13612.41036
21/05/2018,Actual,12776.26715
22/05/2018,Actual,8118.44951
23/05/2018,Actual,8779.86319
24/05/2018,Actual,15971.1186
25/05/2018,Actual,10822.23663
26/05/2018,Actual,9826.83289
27/05/2018,Actual,15780.01952
28/05/2018,Actual,12858.26
29/05/2018,Actual,9748.13442
30/05/2018,Actual,9299.49057
31/05/2018,Actual,10633.54479
1/6/2018,Actual,10646.01695
2/6/2018,Actual,8038.24602
3/6/2018,Actual,13213.32798
4/6/2018,Actual,10937.49983
5/6/2018,Actual,10088.43894
6/6/2018,Actual,10669.26656
7/6/2018,Actual,9559.58119
8/6/2018,Actual,7795.91564
9/6/2018,Actual,10217.3246
10/6/2018,Actual,13533.86424
11/6/2018,Actual,12882.51946
12/6/2018,Actual,13853.463
13/06/2018,Actual,12923.67878
14/06/2018,Actual,8511.72346
15/06/2018,Actual,8658.16967
16/06/2018,Actual,9309.9777
17/06/2018,Actual,7733.50015
18/06/2018,Actual,9128.82658
19/06/2018,Actual,7584.37382
20/06/2018,Actual,11037.45462
21/06/2018,Actual,8685.23595
22/06/2018,Actual,10418.62356
23/06/2018,Actual,11100.13144
24/06/2018,Actual,9654.11915
25/06/2018,Actual,9241.98889
26/06/2018,Actual,12728.18318
27/06/2018,Actual,12118.40112
28/06/2018,Actual,9364.20524
29/06/2018,Actual,11006.04836
30/06/2018,Actual,6277.75884
1/7/2018,Actual,9697.2186
2/7/2018,Actual,9630.66937
3/7/2018,Actual,9650.17033
4/7/2018,Actual,8444.27889
5/7/2018,Actual,6949.69327
6/7/2018,Actual,8744.34389
7/7/2018,Actual,8146.74849
8/7/2018,Actual,8709.26881
9/7/2018,Actual,8101.46111
10/7/2018,Actual,9090.39304
11/7/2018,Actual,13428.32382
