DATE,DATETIME,TIME,HOUR,CELLNAME,VALUE
23/10/2017,10/23/2017 03:00:00,03:00:00,3,Cell_004071,12.7678
23/10/2017,10/23/2017 01:00:00,01:00:00,1,Cell_004071,12.79255
23/10/2017,10/23/2017 00:00:00,00:00:00,0,Cell_004071,66.68505
23/10/2017,10/23/2017 13:00:00,13:00:00,13,Cell_004071,48.59442
23/10/2017,10/23/2017 09:00:00,09:00:00,9,Cell_004071,33.52353
23/10/2017,10/23/2017 18:00:00,18:00:00,18,Cell_004071,18.98719
23/10/2017,10/23/2017 06:00:00,06:00:00,6,Cell_004071,18.92238
23/10/2017,10/23/2017 16:00:00,16:00:00,16,Cell_004071,6.93785
23/10/2017,10/23/2017 14:00:00,14:00:00,14,Cell_004071,11.74427
23/10/2017,10/23/2017 23:00:00,23:00:00,23,Cell_004071,10.98613
23/10/2017,10/23/2017 08:00:00,08:00:00,8,Cell_004071,15.47047
23/10/2017,10/23/2017 12:00:00,12:00:00,12,Cell_004071,131.76588
23/10/2017,10/23/2017 05:00:00,05:00:00,5,Cell_004071,0.35735
23/10/2017,10/23/2017 20:00:00,20:00:00,20,Cell_004071,50.16028
23/10/2017,10/23/2017 21:00:00,21:00:00,21,Cell_004071,13.89923
23/10/2017,10/23/2017 02:00:00,02:00:00,2,Cell_004071,35.82302
23/10/2017,10/23/2017 11:00:00,11:00:00,11,Cell_004071,126.47584
23/10/2017,10/23/2017 17:00:00,17:00:00,17,Cell_004071,48.4783
23/10/2017,10/23/2017 19:00:00,19:00:00,19,Cell_004071,45.09526
23/10/2017,10/23/2017 15:00:00,15:00:00,15,Cell_004071,24.37741
23/10/2017,10/23/2017 22:00:00,22:00:00,22,Cell_004071,30.20484
23/10/2017,10/23/2017 04:00:00,04:00:00,4,Cell_004071,1.11415
23/10/2017,10/23/2017 07:00:00,07:00:00,7,Cell_004071,13.30286
23/10/2017,10/23/2017 10:00:00,10:00:00,10,Cell_004071,21.13204
24/10/2017,10/24/2017 04:00:00,04:00:00,4,Cell_004071,0.98491
24/10/2017,10/24/2017 03:00:00,03:00:00,3,Cell_004071,0.0984
24/10/2017,10/24/2017 17:00:00,17:00:00,17,Cell_004071,171.93628
24/10/2017,10/24/2017 06:00:00,06:00:00,6,Cell_004071,11.75882
24/10/2017,10/24/2017 09:00:00,09:00:00,9,Cell_004071,182.04053
24/10/2017,10/24/2017 08:00:00,08:00:00,8,Cell_004071,117.32516
24/10/2017,10/24/2017 22:00:00,22:00:00,22,Cell_004071,24.39628
24/10/2017,10/24/2017 16:00:00,16:00:00,16,Cell_004071,54.37949
24/10/2017,10/24/2017 15:00:00,15:00:00,15,Cell_004071,262.81969
24/10/2017,10/24/2017 18:00:00,18:00:00,18,Cell_004071,26.74617
24/10/2017,10/24/2017 10:00:00,10:00:00,10,Cell_004071,159.96214
24/10/2017,10/24/2017 23:00:00,23:00:00,23,Cell_004071,15.40664
24/10/2017,10/24/2017 02:00:00,02:00:00,2,Cell_004071,0.0562
24/10/2017,10/24/2017 12:00:00,12:00:00,12,Cell_004071,143.45851
24/10/2017,10/24/2017 11:00:00,11:00:00,11,Cell_004071,218.18516
24/10/2017,10/24/2017 21:00:00,21:00:00,21,Cell_004071,163.67532
24/10/2017,10/24/2017 00:00:00,00:00:00,0,Cell_004071,112.86892
24/10/2017,10/24/2017 14:00:00,14:00:00,14,Cell_004071,156.07742
24/10/2017,10/24/2017 19:00:00,19:00:00,19,Cell_004071,60.93051
24/10/2017,10/24/2017 05:00:00,05:00:00,5,Cell_004071,40.41492
24/10/2017,10/24/2017 20:00:00,20:00:00,20,Cell_004071,101.75314
24/10/2017,10/24/2017 13:00:00,13:00:00,13,Cell_004071,141.26103
24/10/2017,10/24/2017 07:00:00,07:00:00,7,Cell_004071,6.45847
24/10/2017,10/24/2017 01:00:00,01:00:00,1,Cell_004071,47.22964
25/10/2017,10/25/2017 20:00:00,20:00:00,20,Cell_004071,122.77031
25/10/2017,10/25/2017 11:00:00,11:00:00,11,Cell_004071,30.72336
25/10/2017,10/25/2017 21:00:00,21:00:00,21,Cell_004071,89.99225
25/10/2017,10/25/2017 13:00:00,13:00:00,13,Cell_004071,25.26372
25/10/2017,10/25/2017 14:00:00,14:00:00,14,Cell_004071,38.95642
25/10/2017,10/25/2017 12:00:00,12:00:00,12,Cell_004071,38.55969
25/10/2017,10/25/2017 16:00:00,16:00:00,16,Cell_004071,7.6045
25/10/2017,10/25/2017 23:00:00,23:00:00,23,Cell_004071,431.091
25/10/2017,10/25/2017 03:00:00,03:00:00,3,Cell_004071,55.87497
25/10/2017,10/25/2017 01:00:00,01:00:00,1,Cell_004071,33.21201
25/10/2017,10/25/2017 22:00:00,22:00:00,22,Cell_004071,119.26571
25/10/2017,10/25/2017 19:00:00,19:00:00,19,Cell_004071,49.8237
25/10/2017,10/25/2017 17:00:00,17:00:00,17,Cell_004071,34.04712
25/10/2017,10/25/2017 09:00:00,09:00:00,9,Cell_004071,34.49844
25/10/2017,10/25/2017 15:00:00,15:00:00,15,Cell_004071,67.03661
25/10/2017,10/25/2017 07:00:00,07:00:00,7,Cell_004071,14.07687
25/10/2017,10/25/2017 18:00:00,18:00:00,18,Cell_004071,117.54503
25/10/2017,10/25/2017 08:00:00,08:00:00,8,Cell_004071,836.49103
25/10/2017,10/25/2017 02:00:00,02:00:00,2,Cell_004071,42.04273
25/10/2017,10/25/2017 06:00:00,06:00:00,6,Cell_004071,1.04237
25/10/2017,10/25/2017 05:00:00,05:00:00,5,Cell_004071,6.47773
25/10/2017,10/25/2017 10:00:00,10:00:00,10,Cell_004071,127.14267
25/10/2017,10/25/2017 04:00:00,04:00:00,4,Cell_004071,0.52278
25/10/2017,10/25/2017 00:00:00,00:00:00,0,Cell_004071,1.38209
26/10/2017,10/26/2017 19:00:00,19:00:00,19,Cell_004071,35.65277
26/10/2017,10/26/2017 17:00:00,17:00:00,17,Cell_004071,16.39873
26/10/2017,10/26/2017 23:00:00,23:00:00,23,Cell_004071,0.04148
26/10/2017,10/26/2017 21:00:00,21:00:00,21,Cell_004071,69.98195
26/10/2017,10/26/2017 01:00:00,01:00:00,1,Cell_004071,3.99489
26/10/2017,10/26/2017 18:00:00,18:00:00,18,Cell_004071,89.69498
26/10/2017,10/26/2017 08:00:00,08:00:00,8,Cell_004071,13.83002
26/10/2017,10/26/2017 12:00:00,12:00:00,12,Cell_004071,6.56891
26/10/2017,10/26/2017 07:00:00,07:00:00,7,Cell_004071,5.39275
26/10/2017,10/26/2017 11:00:00,11:00:00,11,Cell_004071,45.51816
26/10/2017,10/26/2017 05:00:00,05:00:00,5,Cell_004071,4.39196
26/10/2017,10/26/2017 00:00:00,00:00:00,0,Cell_004071,71.10712
26/10/2017,10/26/2017 10:00:00,10:00:00,10,Cell_004071,128.34003
26/10/2017,10/26/2017 06:00:00,06:00:00,6,Cell_004071,76.39661
26/10/2017,10/26/2017 03:00:00,03:00:00,3,Cell_004071,0.05941
26/10/2017,10/26/2017 20:00:00,20:00:00,20,Cell_004071,39.52164
26/10/2017,10/26/2017 02:00:00,02:00:00,2,Cell_004071,0
26/10/2017,10/26/2017 13:00:00,13:00:00,13,Cell_004071,27.0453
26/10/2017,10/26/2017 16:00:00,16:00:00,16,Cell_004071,12.81705
26/10/2017,10/26/2017 04:00:00,04:00:00,4,Cell_004071,21.69003
26/10/2017,10/26/2017 09:00:00,09:00:00,9,Cell_004071,24.73632
26/10/2017,10/26/2017 14:00:00,14:00:00,14,Cell_004071,2.40212
26/10/2017,10/26/2017 15:00:00,15:00:00,15,Cell_004071,19.50036
26/10/2017,10/26/2017 22:00:00,22:00:00,22,Cell_004071,6.82733
27/10/2017,10/27/2017 04:00:00,04:00:00,4,Cell_004071,0.5395
27/10/2017,10/27/2017 18:00:00,18:00:00,18,Cell_004071,80.74335
27/10/2017,10/27/2017 13:00:00,13:00:00,13,Cell_004071,20.69933
27/10/2017,10/27/2017 22:00:00,22:00:00,22,Cell_004071,215.82847
27/10/2017,10/27/2017 17:00:00,17:00:00,17,Cell_004071,170.44463
27/10/2017,10/27/2017 10:00:00,10:00:00,10,Cell_004071,17.78115
27/10/2017,10/27/2017 23:00:00,23:00:00,23,Cell_004071,242.21709
27/10/2017,10/27/2017 19:00:00,19:00:00,19,Cell_004071,190.22422
27/10/2017,10/27/2017 21:00:00,21:00:00,21,Cell_004071,293.03205
27/10/2017,10/27/2017 11:00:00,11:00:00,11,Cell_004071,211.73058
27/10/2017,10/27/2017 02:00:00,02:00:00,2,Cell_004071,3.15745
27/10/2017,10/27/2017 12:00:00,12:00:00,12,Cell_004071,67.75699
27/10/2017,10/27/2017 08:00:00,08:00:00,8,Cell_004071,17.31983
27/10/2017,10/27/2017 09:00:00,09:00:00,9,Cell_004071,42.63574
27/10/2017,10/27/2017 07:00:00,07:00:00,7,Cell_004071,52.6905
27/10/2017,10/27/2017 15:00:00,15:00:00,15,Cell_004071,283.31674
27/10/2017,10/27/2017 16:00:00,16:00:00,16,Cell_004071,1237.96466
27/10/2017,10/27/2017 20:00:00,20:00:00,20,Cell_004071,86.7873
27/10/2017,10/27/2017 06:00:00,06:00:00,6,Cell_004071,47.15639
27/10/2017,10/27/2017 03:00:00,03:00:00,3,Cell_004071,5.94975
27/10/2017,10/27/2017 00:00:00,00:00:00,0,Cell_004071,0
27/10/2017,10/27/2017 14:00:00,14:00:00,14,Cell_004071,131.16768
27/10/2017,10/27/2017 05:00:00,05:00:00,5,Cell_004071,6.51838
27/10/2017,10/27/2017 01:00:00,01:00:00,1,Cell_004071,0.0305
28/10/2017,10/28/2017 11:00:00,11:00:00,11,Cell_004071,252.29091
28/10/2017,10/28/2017 10:00:00,10:00:00,10,Cell_004071,169.32891
28/10/2017,10/28/2017 02:00:00,02:00:00,2,Cell_004071,0
28/10/2017,10/28/2017 03:00:00,03:00:00,3,Cell_004071,0.83339
28/10/2017,10/28/2017 06:00:00,06:00:00,6,Cell_004071,35.91875
28/10/2017,10/28/2017 13:00:00,13:00:00,13,Cell_004071,60.48626
28/10/2017,10/28/2017 23:00:00,23:00:00,23,Cell_004071,98.3593
28/10/2017,10/28/2017 17:00:00,17:00:00,17,Cell_004071,357.12521
28/10/2017,10/28/2017 16:00:00,16:00:00,16,Cell_004071,185.53228
28/10/2017,10/28/2017 05:00:00,05:00:00,5,Cell_004071,67.86626
28/10/2017,10/28/2017 12:00:00,12:00:00,12,Cell_004071,136.25027
28/10/2017,10/28/2017 20:00:00,20:00:00,20,Cell_004071,61.58707
28/10/2017,10/28/2017 07:00:00,07:00:00,7,Cell_004071,25.76816
28/10/2017,10/28/2017 00:00:00,00:00:00,0,Cell_004071,0.33311
28/10/2017,10/28/2017 19:00:00,19:00:00,19,Cell_004071,330.86088
28/10/2017,10/28/2017 09:00:00,09:00:00,9,Cell_004071,146.46177
28/10/2017,10/28/2017 08:00:00,08:00:00,8,Cell_004071,0.49823
28/10/2017,10/28/2017 01:00:00,01:00:00,1,Cell_004071,3.00046
28/10/2017,10/28/2017 14:00:00,14:00:00,14,Cell_004071,263.05508
28/10/2017,10/28/2017 04:00:00,04:00:00,4,Cell_004071,210.76255
28/10/2017,10/28/2017 22:00:00,22:00:00,22,Cell_004071,70.60064
28/10/2017,10/28/2017 21:00:00,21:00:00,21,Cell_004071,263.92981
28/10/2017,10/28/2017 15:00:00,15:00:00,15,Cell_004071,115.62201
28/10/2017,10/28/2017 18:00:00,18:00:00,18,Cell_004071,618.43569
29/10/2017,10/29/2017 18:00:00,18:00:00,18,Cell_004071,211.78836
29/10/2017,10/29/2017 12:00:00,12:00:00,12,Cell_004071,56.29539
29/10/2017,10/29/2017 10:00:00,10:00:00,10,Cell_004071,221.40153
29/10/2017,10/29/2017 04:00:00,04:00:00,4,Cell_004071,8.80122
29/10/2017,10/29/2017 06:00:00,06:00:00,6,Cell_004071,24.78133
29/10/2017,10/29/2017 16:00:00,16:00:00,16,Cell_004071,7.40369
29/10/2017,10/29/2017 23:00:00,23:00:00,23,Cell_004071,4.16188
29/10/2017,10/29/2017 09:00:00,09:00:00,9,Cell_004071,94.6392
29/10/2017,10/29/2017 14:00:00,14:00:00,14,Cell_004071,11.19109
29/10/2017,10/29/2017 20:00:00,20:00:00,20,Cell_004071,167.34412
29/10/2017,10/29/2017 03:00:00,03:00:00,3,Cell_004071,0.41898
29/10/2017,10/29/2017 11:00:00,11:00:00,11,Cell_004071,566.56455
29/10/2017,10/29/2017 05:00:00,05:00:00,5,Cell_004071,10.25508
